height,fall,net_fall,flow,power
624.0,89.16,89.765,3.5,2512.85
628.0,93.16,93.765,3.5,2583.79
602.0,67.84,66.415,6.5,3748.77
599.0,64.84,63.415,6.5,3520.65
630.0,94.69,93.54,8.0,6673.84
620.0,84.89,84.665,6.0,4533.31
601.0,66.89,65.665,6.0,3402.31
622.0,88.21,87.935,3.0,2029.03
599.0,64.99,64.165,5.0,2702.84
611.0,75.89,75.665,6.0,4047.41
591.0,56.94,55.92,5.5,2506.19
591.0,56.99,56.165,5.0,2272.25
598.0,63.94,62.92,5.5,2930.92
618.0,83.04,83.365,4.5,3196.87
609.0,73.89,73.665,6.0,3934.63
608.0,72.79,72.14,7.0,4498.27
609.0,75.21,74.935,3.0,1753.19
614.0,79.04,79.365,4.5,3050.21
628.0,92.79,92.14,7.0,5785.19
608.0,72.94,72.92,5.5,3533.24
625.0,89.69,88.54,8.0,6318.53
603.0,69.1,68.55,4.0,2260.59
611.0,75.84,75.415,6.5,4386.78
620.0,84.69,83.54,8.0,5950.95
628.0,92.84,92.415,6.5,5370.96
617.0,82.16,82.765,3.5,2342.83
597.0,63.04,62.365,4.5,2315.89
626.0,90.89,90.665,6.0,4838.78
595.0,60.84,59.415,6.5,3229.58
627.0,92.1,92.55,4.0,3033.93
598.0,63.79,62.14,7.0,3664.19
625.0,91.21,90.935,3.0,2069.21
622.0,86.74,85.84,7.5,5775.22
630.0,94.84,94.415,6.5,5471.25
612.0,76.74,75.84,7.5,5062.02
615.0,79.74,78.84,7.5,5286.39
608.0,74.21,73.935,3.0,1729.06
623.0,87.74,86.84,7.5,5843.72
599.0,64.89,63.665,6.0,3263.81
596.0,61.79,60.14,7.0,3511.37
611.0,76.16,76.765,3.5,2176.83
624.0,89.1,89.55,4.0,2956.54
591.0,56.79,55.14,7.0,2915.86
625.0,89.74,88.84,7.5,5975.71
612.0,76.79,76.14,7.0,4768.88
593.0,58.79,57.14,7.0,3243.23
602.0,67.89,66.665,6.0,3474.88
601.0,67.1,66.55,4.0,2182.38
593.0,58.84,57.415,6.5,3076.83
613.0,77.99,78.165,5.0,3410.17
594.0,60.04,59.365,4.5,2189.37
602.0,68.16,67.765,3.5,1896.03
613.0,78.16,78.765,3.5,2232.56
606.0,70.69,69.54,8.0,4719.66
628.0,93.1,93.55,4.0,3056.77
628.0,92.99,93.165,5.0,4003.13
613.0,77.59,75.84,9.0,5748.63
601.0,66.69,64.54,8.0,4286.12
607.0,71.99,72.165,5.0,3128.95
596.0,62.04,61.365,4.5,2266.22
599.0,65.1,64.55,4.0,2098.99
592.0,57.84,56.415,6.5,2995.04
609.0,73.59,71.84,9.0,5280.98
606.0,71.1,71.55,4.0,2375.01
608.0,72.74,71.84,7.5,4720.17
591.0,56.89,55.665,6.0,2721.77
605.0,70.69,68.54,8.0,4639.37
591.0,57.1,56.55,4.0,1766.92
610.0,74.94,74.92,5.5,3639.8
619.0,85.21,84.935,3.0,1976.96
612.0,76.99,77.165,5.0,3365.15
627.0,91.84,91.415,6.5,5316.82
611.0,76.1,76.55,4.0,2553.75
617.0,82.1,82.55,4.0,2749.37
619.0,84.16,84.765,3.5,2394.82
625.0,89.59,87.84,9.0,6816.53
622.0,87.16,87.765,3.5,2470.63
603.0,68.89,67.665,6.0,3545.42
623.0,87.59,85.84,9.0,6642.82
622.0,86.94,86.92,5.5,4214.1
600.0,66.1,65.55,4.0,2141.61
627.0,91.89,91.665,6.0,4881.38
610.0,75.1,75.55,4.0,2519.34
605.0,70.99,70.165,5.0,3025.13
620.0,84.74,83.84,7.5,5636.52
629.0,93.84,93.415,6.5,5420.9
611.0,75.94,75.92,5.5,3689.14
622.0,86.89,86.665,6.0,4639.32
625.0,89.89,89.665,6.0,4789.54
597.0,62.79,61.14,7.0,3587.92
600.0,65.69,63.54,8.0,4193.77
599.0,65.16,64.765,3.5,1790.54
615.0,79.59,77.84,9.0,5924.78
596.0,61.94,60.92,5.5,2813.04
612.0,77.16,77.765,3.5,2206.12
619.0,83.89,83.665,6.0,4481.25
608.0,73.16,73.765,3.5,2086.52
598.0,63.69,61.54,8.0,3933.38
621.0,85.64,84.19,8.5,6267.8
627.0,92.04,92.365,4.5,3496.89
595.0,60.94,59.92,5.5,2754.26
623.0,88.04,88.365,4.5,3366.43
626.0,90.59,88.84,9.0,6919.41
619.0,84.1,84.55,4.0,2846.31
610.0,75.16,75.765,3.5,2147.58
622.0,86.99,87.165,5.0,3776.31
611.0,76.04,76.365,4.5,2935.76
605.0,71.16,70.765,3.5,1994.79
599.0,64.74,62.84,7.5,3949.36
624.0,88.84,88.415,6.5,5155.08
615.0,79.99,80.165,5.0,3492.44
609.0,73.94,73.92,5.5,3585.5
623.0,88.16,88.765,3.5,2491.94
625.0,89.99,90.165,5.0,3890.69
615.0,79.94,79.92,5.5,3887.5
618.0,82.59,80.84,9.0,6180.17
611.0,75.69,74.54,8.0,5187.13
598.0,63.89,62.665,6.0,3196.23
594.0,59.84,58.415,6.5,3156.0
620.0,85.16,85.765,3.5,2424.09
611.0,75.99,76.165,5.0,3321.19
626.0,90.84,90.415,6.5,5263.2
594.0,59.99,59.165,5.0,2438.06
619.0,83.99,84.165,5.0,3657.27
597.0,63.16,62.765,3.5,1717.89
610.0,74.99,75.165,5.0,3275.22
600.0,66.16,65.765,3.5,1825.74
621.0,86.1,86.55,4.0,2872.73
599.0,64.94,63.92,5.5,2990.32
626.0,91.04,91.365,4.5,3464.56
600.0,66.04,65.365,4.5,2453.44
604.0,70.16,69.765,3.5,1962.86
614.0,78.69,77.54,8.0,5458.55
606.0,70.94,70.92,5.5,3421.99
601.0,66.94,65.92,5.5,3114.68
625.0,90.16,90.765,3.5,2537.26
617.0,81.74,80.84,7.5,5426.81
619.0,83.69,82.54,8.0,5867.76
615.0,79.69,78.54,8.0,5545.11
597.0,62.94,61.92,5.5,2871.29
606.0,70.79,70.14,7.0,4333.94
619.0,83.74,82.84,7.5,5566.34
597.0,62.74,60.84,7.5,3762.95
616.0,81.16,81.765,3.5,2316.5
614.0,78.99,79.165,5.0,3451.51
629.0,93.79,93.14,7.0,5841.71
620.0,84.59,82.84,9.0,6355.79
602.0,67.69,65.54,8.0,4379.76
607.0,71.89,71.665,6.0,3818.88
601.0,67.04,66.365,4.5,2498.69
623.0,87.99,88.165,5.0,3813.69
622.0,86.59,84.84,9.0,6547.15
